longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.257,47.5112,1,3,3,1180,7,8.3252,221900,0
-122.319,47.721,2,3,3,2570,7,8.3014,538000,0
-122.233,47.7379,1,3,2,770,6,7.2574,180000,0
-122.393,47.5208,1,5,4,1960,7,5.6431,604000,0
-122.045,47.6168,1,3,3,1680,8,3.8462,510000,0
-122.005,47.6561,1,3,4,5420,11,4.0368,1225000,0
-122.327,47.3097,2,3,3,1715,7,3.6591,257500,0
-122.315,47.4095,1,3,3,1060,7,3.12,291850,0
-122.337,47.5123,1,3,3,1780,7,2.0804,229500,0
-122.031,47.3684,2,3,3,1890,7,3.6912,323000,0
-122.145,47.6007,1,3,3,3560,8,3.2031,662500,0
-122.292,47.69,1,4,2,1160,7,3.2705,468000,0
-122.229,47.7558,1.5,4,3,1430,7,3.075,310000,0
-122.045,47.6127,1,4,3,1370,7,2.6736,400000,0
-122.394,47.67,1.5,3,5,1810,7,1.9167,530000,0
-122.375,47.5714,2,3,4,2950,9,2.125,650000,0
-121.962,47.7277,2,3,3,1890,7,2.775,395000,0
-122.343,47.6648,1.5,4,4,1600,7,2.1202,485000,0
-122.21,47.3089,1,4,2,1200,7,1.9911,189000,0
-122.306,47.3343,1,4,3,1250,7,2.6033,230000,0
-122.341,47.7025,1,4,4,1620,7,1.3578,385000,0
-122.233,47.5316,1,3,3,3050,9,1.7135,2000000,0
-122.169,47.3266,2,3,5,2270,8,1.725,285000,0
-122.166,47.3533,1,3,2,1070,7,2.1806,252700,0
-122.172,47.3739,2,4,3,2450,8,2.6,329000,0
-122.218,47.3048,1.5,5,3,1710,6,2.4038,233000,0
-122.36,47.6386,2,3,3,2450,8,2.4597,937000,0
-122.314,47.6221,1.5,5,3,1400,8,1.808,667000,0
-122.304,47.695,1,3,3,1520,7,1.6424,438000,0
-122.11,47.7073,2,3,4,2570,8,1.6875,719000,0
-122.07,47.5391,2,3,3,2320,8,1.9274,580500,0
-122.357,47.7274,3,3,2,1190,7,1.9615,280000,0
-122.368,47.6823,1.5,4,4,2330,7,1.7969,687500,0
-122.375,47.6889,1.5,4,3,1090,8,1.375,535000,0
-122.157,47.4276,1,3,4,2060,7,2.7303,322500,0
-122.31,47.6827,1.5,3,3,2300,8,1.4861,696000,0
-122.132,47.6621,1,1,4,1660,5,1.0972,550000,0
-122.362,47.6702,2,4,4,2360,8,1.4103,640000,0
-122.282,47.3341,1,2,4,1220,7,3.48,240000,0
-122.18,47.5301,2,3,4,2620,8,2.5898,605000,0
-122.027,47.6145,2,3,4,2570,9,2.0978,625000,0
-122.347,47.445,1,3,4,4220,8,1.2852,775000,0
-122.016,47.6848,2,3,5,3595,9,1.025,861990,0
-122.364,47.6413,2,3,3,1570,7,3.9643,685000,0
-122.175,47.4485,1,4,3,1280,6,3.0125,309000,0
-121.977,47.7443,2,3,3,3160,8,2.6768,488000,0
-122.371,47.3066,1,3,3,990,6,2.026,210490,0
-122.151,47.6194,2,4,4,2290,9,1.7348,785000,0
-122.301,47.6796,1,4,3,1250,7,0.9506,450000,0
-122.451,47.4041,1,5,3,2753,9,1.775,1350000,1
-122.322,47.4258,1,3,3,1190,7,0.9218,228000,0
-122.189,47.4934,1,4,5,3150,8,1.5045,345000,0
-122.384,47.6808,1,4,3,1410,7,1.1108,600000,0
-122.369,47.6989,1,3,2,1980,7,1.2475,585000,0
-122.281,47.6571,1.5,3,5,2730,8,1.6098,920000,0
-122.29,47.6597,2,3,4,2830,9,1.4113,885000,0
-122.114,47.3663,2,3,4,2250,7,1.5057,292500,0
-122.122,47.3663,2,3,3,2420,8,0.8172,301000,0
-122.116,47.588,2,4,5,3250,8,1.2171,951000,0
-122.149,47.5059,2,3,4,1850,8,2.5625,430000,0
-122.339,47.4336,1,4,3,2150,8,3.3929,650000,0
-122.335,47.4366,1,3,3,1260,7,6.1183,289000,0
-122.344,47.4428,2,5,3,2519,8,0.9011,505000,0
-122.32,47.6765,3,3,3,1540,8,1.191,549000,0
-122.297,47.6113,1,3,3,1660,7,2.5938,425000,0
-122.304,47.5747,1.5,5,3,2770,7,1.1667,317625,0
-122.192,47.5815,2,3,4,2720,10,0.8056,975000,0
-122.257,47.3378,2,3,4,2240,7,2.6094,287000,0
-122.11,47.3621,1,4,3,1000,7,1.8516,204000,0
-122.215,47.6303,1,3,5,3200,8,0.9802,1325000,0
-122.16,47.6525,1,4,5,4770,11,1.7719,1040000,0
-122.179,47.7362,1,4,3,1260,7,0.7286,325000,0
-122.287,47.7168,1.5,5,4,2750,7,1.75,571000,0
-122.036,47.3608,2,3,4,2380,8,0.4999,360000,0
-122.073,47.3511,1,5,3,1790,7,2.483,349000,0
-121.987,47.5822,2,4,4,3430,10,0.9241,832500,0
-122.125,47.6034,1,3,4,1760,7,2.4464,380000,0
-122.394,47.5636,1,3,3,1040,7,1.1111,480000,0
-122.34,47.7073,1,4,3,1410,7,0.8026,410000,0
-122.025,47.342,2,3,4,3450,10,2.0114,720000,0
-122.008,47.3512,2,3,3,2350,8,1.5,390000,0
-122.031,47.349,2,3,4,1900,7,1.1667,360000,0
-122.291,47.5474,1,3,2,2020,7,1.5208,355000,0
-122.149,47.4811,1,3,3,1680,8,0.8075,356000,0
-122.31,47.7264,1,3,3,960,6,1.8088,315000,0
-122.365,47.6337,2,3,3,2140,9,2.4083,940000,0
-122.189,47.2909,1.5,5,5,2660,7,0.977,305000,0
-122.199,47.5228,2,3,3,2770,9,0.76,461000,0
-122.194,47.518,2,4,2,1610,7,0.9722,215000,0
-122.387,47.5394,2,3,2,1030,7,1.2434,335000,0
-122.372,47.2897,2,3,4,1980,7,2.0938,243500,0
-122.391,47.6506,2,4,5,3520,10,0.8668,1099880,0
-122.351,47.322,1,3,3,1200,7,0.75,153000,0
-122.386,47.687,1,3,3,1580,8,2.6354,430000,0
-122.386,47.687,1,3,3,1580,8,1.8477,700000,0
-122.249,47.5873,1,3,4,3300,7,2.0096,905000,0
-122.277,47.3576,1,3,3,1960,7,2.8345,247500,0
-122.378,47.3036,1,4,4,1160,7,2.0062,199000,0
-121.958,47.4109,1,5,3,1810,7,1.2185,314000,0
-121.714,47.4838,2,3,3,2320,9,2.6104,437500,0
-122.315,47.6415,1.5,5,3,2070,9,2.4912,850830,0
-122.372,47.6775,1.5,4,3,1980,7,3.2177,555000,0
-122.08,47.7731,2,4,3,2190,8,3.125,699950,0
-122.196,47.5814,2,3,3,2920,8,2.5795,1088000,0
